Name;YT Scope Project;
File;C:\Users\kimro\Documents\Bachelor\data\spool_mapping\UpDown100Bar040326\Down100Bar65Signal040326.csv;
Starttime of export;134171072176770000;onsdag 4. mars 2026;15:13:37.677
Endtime of export;134171072255349999;onsdag 4. mars 2026;15:13:45.534


fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered

47,273;0;-1;0,4518601291302356;0,44058878797369244;0;59,987182226020082;60,757018915067064;0,13428144169438766;0,13413473039005538;0,097659230323191015;0,11091175894572947;100,36927396465957;101,5197069632063
47,274;0;-1;0,4518601291302356;0,44058878797369244;0;60,023804437391277;60,756851947073386;0,13428144169438766;0,1341401536084415;0,097659230323191015;0,11087428949852156;100,32044434949798;101,51985428404751
47,275;0;-1;0,4518601291302356;0,44058878797369244;0;59,99938962981048;60,756800380557557;0,13428144169438766;0,13414556001485065;0,097659230323191015;0,11083693620659997;100,29602954191718;101,51984796969134
47,276;0;-1;0,4518601291302356;0,44058878797369244;0;60,023804437391277;60,756672384646549;0,13428144169438766;0,13415094966139993;0,073244422742393261;0,11079969870988335;100,36927396465957;101,51976508565829
47,277;0;-1;0,4518601291302356;0,44058878797369244;0;60,023804437391277;60,756621374774241;0,13428144169438766;0,1341563226000449;0,073244422742393261;0,11068598739802558;100,36927396465957;101,5199122263199
47,278;0;-1;0,4518601291302356;0,44058878797369244;0;60,036011841181676;60,756570523032529;0,13428144169438766;0,13416167888258007;0,073244422742393261;0,1105726285912346;100,39368877224037;101,52005891084545
47,279;0;-1;0,4518601291302356;0,44058878797369244;0;59,99938962981048;60,756558123556914;0,12207403790398877;0,13416701856063937;0,073244422742393261;0,11045962119674466;100,34485915707877;101,52028172990035
47,28;0;-1;0,4518601291302356;0,44058878797369244;0;60,023804437391277;60,756430878642611;0,12207403790398877;0,1341340470600062;0,073244422742393261;0,11034696412517764;100,38148136844997;101,52035067971342
47,281;0;-1;0,45183267404881394;0,44055746946445351;0;60,036011841181676;60,756380617438914;0,12207403790398877;0,13410117777102495;0,073244422742393261;0,11023465629053246;100,41810357982116;101,52053429965915
47,282;0;-1;0,45183267404881394;0,44055746946445351;0;60,036011841181676;60,756368806670636;0,12207403790398877;0,13406841037683959;0,073244422742393261;0,11012269661017471;100,40589617603077;101,5208322342601
47,283;0;-1;0,45183267404881394;0,44055746946445351;0;60,036011841181676;60,756357032515744;0,12207403790398877;0,13403574456157619;0,073244422742393261;0,11001108400482605;100,40589617603077;101,5210909506381
47,284;0;-1;0,45183267404881394;0,44055746946445351;0;60,023804437391277;60,756345294860736;0,13428144169438766;0,13400318001034012;0,073244422742393261;0,10989981739855395;100,38148136844997;101,52134886499533
47,285;0;-1;0,45183267404881394;0,44055746946445351;0;60,023804437391277;60,756295298966762;0,13428144169438766;0,13400901103490337;0,073244422742393261;0,10978889571876131;100,45472579119236;101,52152939056667
47,286;0;-1;0,45183267404881394;0,44055746946445351;0;59,987182226020082;60,756245458060057;0,13428144169438766;0,13401482398329048;0,073244422742393261;0,10967831789617605;100,49134800256356;101,52193912426289
47,287;0;-1;0,45183267404881394;0,44055746946445351;0;59,987182226020082;60,756080887783106;0,13428144169438766;0,13402061891153758;0,073244422742393261;0,10956808286484078;100,49134800256356;101,52246247166171
47,288;0;-1;0,4518601291302356;0,44058878797369244;0;59,99938962981048;60,755916827674007;0,14648884548478652;0,13402639587550713;0,073244422742393261;0,10945818956210264;100,43031098361156;101,52298419668361
47,289;0;-1;0,4518601291302356;0,44058878797369244;0;60,023804437391277;60,755791570776935;0,14648884548478652;0,13407044955657885;0,061037018951994385;0,10934863692860301;100,43031098361156;101,52331283122949
47,29;0;-1;0,4518601291302356;0,44058878797369244;0;59,99938962981048;60,755743291427628;0,14648884548478652;0,13411436667123924;0,073244422742393261;0,10920112928257673;100,49134800256356;101,52364044700826
47,291;0;-1;0,4518601291302356;0,44058878797369244;0;59,99938962981048;60,755618572492921;0,13428144169438766;0,13415814764284417;0,073244422742393261;0,10909237353594363;100,47914059877316;101,52415852030659
47,292;0;-1;0,4518601291302356;0,44058878797369244;0;60,036011841181676;60,75549424018692;0,14648884548478652;0,13416349826774668;0,073244422742393261;0,10898395493212508;100,39368877224037;101,52463669295199
47,293;0;-1;0,4518601291302356;0,44058878797369244;0;60,036011841181676;60,75548517718812;0,14648884548478652;0,13420712693140244;0,073244422742393261;0,10887587242597838;100,39368877224037;101,52484532088235
47,294;0;-1;0,45183267404881394;0,44055746946445351;0;60,023804437391277;60,755476142284621;0,14648884548478652;0,13425062034620089;0,073244422742393261;0,10876812497560072;100,40589617603077;101,52505330206614
47,295;0;-1;0,45183267404881394;0,44055746946445351;0;60,023804437391277;60,755428840763628;0,14648884548478652;0,13429397893141343;0,073244422742393261;0,10866071154231924;100,46693319498276;101,52529893313394
47,296;0;-1;0,45183267404881394;0,44055746946445351;0;59,987182226020082;60,75538168587736;0,14648884548478652;0,13433720310501185;0,073244422742393261;0,10855363109068092;100,39368877224037;101,52573527587388
47,297;0;-1;0,4518601291302356;0,44058878797369244;0;59,974974822229683;60,75521979329416;0,14648884548478652;0,1343802932836721;0,097659230323191015;0,10844688258844271;100,36927396465957;101,5259404981972
47,298;0;-1;0,4518601291302356;0,44058878797369244;0;59,974974822229683;60,755020107952291;0,14648884548478652;0,13442324988277848;0,097659230323191015;0,10841705425794237;100,36927396465957;101,52606849507994
